"item_id","item_pymnt_amount","item_desc_dutch","item_desc_translation","item_location","month","year","manuscript","folio_num"
1,"2 h","for lanterns","for lanterns",1,"NULL",1405,1214,"1v"
2,"5 lb 4 s","kepers te behowene","carve the rafters",1,"NULL",1405,1214,"5r"
3,"52 s","coer vermaeckde","restored the choir",1,"NULL",1405,1214,"5r"
4,"6 lb 8 s","die kepers leden","stacking the rafters [see Laden-Verdam 318]",1,"NULL",1405,1214,"5r"
5,"12 lb 12 s","den kepers op te doen ende te legghene","for erecting and stacking the rafters",1,"NULL",1405,1214,"5r"
6,"16 lb","latten te seghen","sawing battens (for the roof)",1,"NULL",1405,1214,"5r"
7,"108 lb","maechde nouwe werc soe van stoppene","did new(difficult?) work on the roof) [see Verdam 378 and 581] 6 pl for 15 days",1,"NULL",1405,1214,"5r"
8,"14 lb","unstated work","unstated work","NULL","NULL",1405,1214,"5r"
9,"16 lb 17 s","unstated work","unstated work","NULL","NULL",1405,1214,"5r"
10,"6 lb","van den slytsteen","for the capstone",1,"NULL",1405,1214,"5r"
11,"4 lb 16 s","van eenen steen opten cap","for a stone on the chapel tower or beacon tower",1,"NULL",1405,1214,"5r"
12,"12 lb","post en inghele sneet","carved post and angel",1,"NULL",1405,1214,"5r"
13,"7 lb 4 s","van den posten ande inghele te setten","to place the posts and angels",1,"NULL",1405,1214,"5r"
14,"24 lb","van al den yserwercke ende van den roeden te linghene","for iron work and for aligning the rood",1,"NULL",1405,1214,"5r"
15,"2 lb 4 s","van lyme ende wercke","for plaster and work",1,"NULL",1405,1214,"5v"
16,"3 lb 12 s","van der ghelasen vinsteren int te settene","for setting the glass windows",1,"NULL",1405,1214,"5v"
17,"48 s","Van 4 yseren totten ghelasen","for four iron (pieces) to the glass",1,"NULL",1405,1214,"5v"
18,"16 s","van den cloczeel te hanghene","for hanging the clock strap [alternate-for hanging the bell bracket]",1,"NULL",1405,1214,"5v"
19,"40 s","te incke ende papyre","for ink and paper",1,"NULL",1405,1214,"5v"
20,"24 s","om een lampe","for a lamp",1,"NULL",1405,1214,"5v"
21,"7 lb 7 s","totter lantternen ghegheven","for the lanterns",1,"NULL",1405,1214,"5v"
22,"14 lb 8 s","van nowen ghelase","for finely worked glass",1,"NULL",1405,1214,"5v"
