"person_id","person_fname","person_lname","occupation_id","location_id","month","year","gender",
1,,"Custer van Dienst",2,1,,1405,"m",
2,"Jan","Lieuen",3,1,,1405,"m",
3,,"'Apprenctice of  Jan Lieuen'",3,1,,1405,"m",
4,"Tonis","Lieuen?",3,1,,1405,"m",
5,"Maes","de Segher (the Sawyer)",4,1,,1405,"m",
6,,"'Workshop Companion of  Maes de Segher'",4,1,,1405,"m",
7,"Keuen","Dillen",1,1,,1405,"m",
8,"Hennen ","Jordens",1,1,,1405,"m",
9,"Jan","Houech",5,1,,1405,"m",
10,,"Anonymous Performer ",6,1,,1405,"m",
11,"Henric","van den Wyeweghe",7,1,,1405,"m",
12,"Wouter","Lantmeteren",7,1,,1405,"m",
13,"Heric","Lantmeteren",8,1,,1405,"m",
14,,"Anonymous Stone Carver",5,1,,1405,"m",
15,"Henric","Truden (the elder?)",9,1,,1405,"m",
16,,"Anonymous Stationer",10,1,,1405,"m",
17,,"Anonymous Glassmaker",11,1,,1405,"m",
18,"Herman","den custer",2,1,,1405,"m",
19,"Herman","van Serpele",12,1,,1405,"m",
20,,"Custer van Beyarden",2,1,,1452,"m",
21,,"Anonymous Servant",13,1,,1452,"m",
22,"Meester Matheeus (Matthijs?)","de Layens (d. 1483?)",5,1,,1452,"m","Possibly the Master Builder Matthijs de Leyens [d. 1483] see Suykerbuyk, 33-4"
23,"Jan","Lieuen",14,1,,1452,"m",
24,"Meester Daem",,15,1,,1452,"m",
25,,"Anonymous Carpenter",3,1,"July",1452,"m",
26,"Henirc","Trudens",3,1,"July",1452,"m",
27,"Lieben (?)","Apprentice of Henric Trudens",3,1,"July",1452,"m",
28,,"Anonymous Carpenter",3,1,"July",1452,"m",
29,,"Anonymous Laborer",9,3,"July",1542,"m",
30,,"Anonymous Vendor",16,1,"July",1452,"m",
31,,"Anonymous Laborer",9,1,"July",1452,"m",
32,,"Anonymous Vendor",16,1,"August",1452,"m",
33,,"Anonymous Lead Smith",18,1,"August",1452,"m",
34,,"Coworker of Henric Trudens",9,1,"August",1452,"m",
35,"Heyne (Henric)","van Potheem",21,1,"August",1452,"m",
36,,"Anonymous Carpenter",3,1,"August",1452,"m","Possibly #25 or #28?"
37,,"Anonymous Carpenter",3,1,"August",1452,"m","Possibly #25 or #28?"
38,"Euerart",,7,1,"August",1452,"m",
39,,"Anonymous Roofing Supplier",20,1,"September",1452,"m","Possibly #44?"
40,,"Anonymous Roofer Coworker",20,1,"September",1452,"m",
41,,"Anonymous Roofer Coworker",20,1,"September",1452,"m",
42,,"Apprentice to Master Ian the Slate Roofer (de Scervensteenedeckere)",20,1,"September",1452,"m",
43,,"Anonymous Book Binder",21,1,"September",1452,"m",
44,"Master Jan (Ian)","de Scervensteenedeckere (Slate Roofer)",20,1,"September",1452,"m","Possibly #39?"
45,,"Brother of Master Ian de Scervensteenedeckere ",20,1,"September",1452,"m",
46,"Collijn","No surname given, only Colijn",20,1,"September",1452,"m",
47,,"Anonymous Vendor",9,1,"September",1452,"m",
48,"Jan","Tgrex",34,1,"September",1452,"m",
49,"Ghielen","Apprentice of Jan Tgrex",34,1,"September",1452,"m",
50,"Meriken","die Neorse",22,1,"September",1452,"f",
51,,"Anonymous Vendor",1,1,"September",1452,"m",
52,,"Anonymous Stone Carver",5,1,"September",1452,"m",
53,"Willem","No surname given, only Willem",1,1,"September",1452,"m",
54,,"Scrivere van Syntruden",23,1,"October",1452,"m",
55,,"Anonymous Carpenter",3,1,"October",1452,"m",
56,,"Anonymous Carpenter",3,1,"October",1452,"m",
57,,"Anonymous Roofer",20,1,"October",1452,"m",
58,,"Anonymous Roofer",20,1,"October",1452,"m",
59,,"Anonymous Carpenter",3,1,"October",1452,"m",
60,,"Anonymous Carpenter",3,1,"October",1452,"m",
61,,"Anonymous Book Binder",21,1,"October",1452,"m",
62,,"Anonymous Cloth Merchant",24,1,"October",1452,"m",
63,,"Anonymous Tile (roof) Vendor",25,1,"October",1452,"m",
64,,"Anonymous Merchant",1,1,"October",1452,"m",
65,,"Anonymous Merchant",1,1,"October",1452,"m",
66,,"Anonymous Glazier",17,1,"October",1452,"m",
67,,"Anonymous Carpenter",3,1,"October",1452,"m",
68,,"Anonymous Carpenter",3,1,"October",1452,"m",
69,,"Anonymous Sawyer",4,1,"October",1452,"m",
70,,"Anonymous Sawyer",4,1,"October",1452,"m",
71,"Mathijs","van Hakedeuel",9,1,"October",1452,"m",
72,"Jan(?)","Apprentice of Mathijs van Hakedeuel",9,1,"October",1452,"m",
