"person_to_item_id","person_id","item_id"
1,2,2
2,3,2
3,2,3
4,2,4
5,4,4
6,2,5
7,3,5
8,4,5
9,5,6
10,6,6
11,4,7
12,7,8
13,8,9
14,14,10
15,9,11
16,11,12
17,2,13
18,3,13
19,4,13
20,13,14
21,12,15
22,15,16
23,13,17
24,15,18
25,16,19
26,17,22
27,17,23
28,19,24
29,25,25
30,28,25
31,29,26
32,30,27
33,31,28
34,32,29
35,33,30
36,26,31
37,34,31
38,35,32
39,36,33
40,37,33
41,38,34
42,26,35
43,34,35
44,39,36
45,39,37
46,40,38
47,41,38
48,42,39
49,53,40
50,47,41
51,43,42
52,44,43
53,45,43
54,46,43
55,45,44
56,46,44
57,51,45
58,48,46
59,49,46
60,50,47
61,52,48
62,54,49
63,55,50
64,56,50
65,61,51
66,62,52
67,57,53
68,58,53
69,63,54
70,64,55
71,48,56
72,49,56
73,59,57
74,60,57
75,65,58
76,67,59
77,68,59
78,69,60
79,70,60
80,71,61
81,71,62
82,72,63
83,72,64
84,76,64
85,73,65
86,74,65
87,66,66
88,75,67
89,53,68
90,77,69
91,79,70
92,79,71
93,80,72
94,81,73
95,35,74
96,50,75
97,83,76
98,84,77
99,85,78
100,86,79
101,87,80
102,88,81
103,89,82
104,53,83
105,90,84
106,91,85
107,92,86
108,93,87
109,94,87
110,95,88
111,96,89
112,97,90
113,107,91
114,119,92
115,96,93
116,120,94
117,121,95
118,125,96
119,53,97
120,53,98
121,22,99
122,129,100
123,130,101
124,131,102
125,132,103
126,133,104
127,53,105
128,134,106
129,135,107
130,136,108
131,137,109
132,137,110
133,22,111
134,138,112
135,26,113
136,139,114
137,53,115
138,137,116
139,140,117
140,44,118
141,44,119
142,141,119
143,142,119
144,143,119
145,26,120
146,145,121
147,138,131
148,146,122
149,88,123
150,144,124
151,145,125
152,146,126
153,26,127
154,150,128
155,150,129
156,88,130
157,151,132
158,152,133
159,26,134
160,145,135
161,153,136
162,154,137
163,120,138
164,132,139
165,133,139
166,48,140
167,49,141
168,155,142
169,156,143
170,146,144
171,132,145
172,133,146
173,157,147
174,158,148
175,159,149
176,159,150
177,26,151
178,96,152
179,156,153
180,155,154
181,132,155
182,133,156
183,146,157
184,160,158
185,161,158
186,145,159
187,162,160
188,163,161
189,80,162
190,160,163
191,133,163
192,132,164
193,162,165
194,163,165
195,162,166
196,162,166
197,164,167
198,165,168
199,166,169
200,160,170
201,167,171
202,96,172
203,133,173
204,132,174
205,44,175
206,42,175
207,168,176
208,169,177
209,26,178
210,170,179
211,171,180
212,146,181
213,161,182
214,132,183
215,133,184
216,172,185
217,173,186
218,178,187
219,146,188
220,120,189
221,179,190
222,180,190
223,181,191
224,182,192
225,146,193
226,183,194
227,132,195
228,133,196
229,139,197
230,132,198
231,146,199
232,160,200
233,184,201
234,185,202
235,186,202
236,187,202
237,188,202
238,189,202
239,190,202
240,191,203
241,192,203
242,193,203
243,194,203
244,195,203
245,196,203
246,197,203
247,198,203
248,199,204
249,200,204
250,201,204
251,118,205
252,132,206
253,133,207
254,96,208
255,202,209
256,179,210
257,180,210
258,86,211
259,203,212
260,173,213
261,204,214
262,205,215
263,206,216
264,207,217
265,207,218
266,208,219
267,209,220
268,209,221
269,210,222
270,211,223
271,212,224
272,213,225
273,214,226
274,215,227
275,216,228
276,217,229
277,218,230
278,219,231
279,220,232
280,220,233
281,220,234
282,221,235
283,222,236
284,132,237
285,133,238
286,223,239
287,15,240
288,224,241
289,225,242
290,226,243
291,227,244
292,132,245
293,133,246
294,228,247
295,229,248
296,230,249
297,179,250
298,180,250
299,138,251
300,225,252
301,48,253
302,234,254
303,144,255
304,48,256
305,208,257
306,207,258
307,179,259
308,180,259
309,235,260
310,132,261
311,133,262
312,221,263
313,221,264
314,15,265
315,170,266
316,236,267
317,132,268
318,133,269
319,237,270
320,238,271
321,239,271
322,146,272
323,240,273
324,146,274
325,240,275
326,240,276
327,241,277
328,88,278
329,242,279
330,243,280
331,244,281
332,120,282
333,247,283
334,248,284
335,249,285
336,250,286
337,251,287
338,251,288
339,264,289
340,146,290
341,96,291
342,22,292
343,15,293
344,267,294
345,145,295
346,27,296
347,144,297
348,71,298
349,72,299
350,145,300
351,227,301
352,144,302
353,146,303
354,170,304
355,268,305
356,270,306
357,145,307
358,146,308
359,269,309
360,174,310
361,144,311
362,279,312
